Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
Salsa,ESA,Government,Space Science,Elliptical,0,21998,110256,0.609,90.7,3418,1200,7/16/2000,4,658,,,
Samba,ESA,Government,Space Science,Elliptical,0,22017,110791,0.61,132.98,3430.28,1200,7/16/2000,4,659,,,
Tango,ESA,Government,Space Science,Elliptical,0,17313,120961,0.686,90.7,3442,1200,8/9/2000,4,660,,,
Resourcesat 2,India/Canada,Government,Earth Observation,LEO,0,817,823,0.000417,98.7,101.3,1206,4/20/2011,5,661,,,
TerraSAR X 1,Germany,Government/Commercial,Earth Observation,LEO,0,507,509,0.000145,97.5,94.8,1230,6/15/2007,5,662,,,
Luch 5B,Russia,Government,Communications,GEO,-16,35772,35801,0.000344,0.22,1436.09,1282,11/2/2012,,663,,,
KazSat-2,Kazakhstan,Commercial,Communications,GEO,86.5,35786,35788,2.37E-05,0.03,1436.13,1300,7/15/2011,12,664,,,
Yamal-202,Russia,Commercial,Communications,GEO,49.03,35774,35796,0.000261,0.04,1436.06,1320,11/24/2003,12,665,,,
TanDEM-X,Germany,Government,Earth Observation,LEO,0,507,510,0.000218,97.4,94.8,1350,6/21/2010,5,666,,,
Genesis-1,USA,Commercial,Technology Development,LEO,0,522,569,0.0034,64.5,95.6,1360,7/12/2006,5,667,,,
Genesis-2,USA,Commercial,Technology Development,LEO,0,508,586,0.00564,64.5,95.6,1360,6/28/2007,5,668,,,
IRS-P6,India,Government,Earth Observation,LEO,0,817,823,0.000417,98.8,101.3,1360,10/17/2003,5,669,,,
MMS-1,USA,Government,Space Science,Elliptical,0,1375,70009,0.816,28.9,1433,1360,3/13/2015,3,670,,,
MMS-2,USA,Government,Space Science,Elliptical,0,1357,70117,0.816,29,1433,1360,3/13/2015,3,671,,,
MMS-3,USA,Government,Space Science,Elliptical,0,1429,70045,0.815,29,1433,1360,3/13/2015,3,672,,,
MMS-4,USA,Government,Space Science,Elliptical,0,1317,70157,0.817,29,1433,1360,3/13/2015,3,673,,,
Apstar 1A,China,Commercial,Communications,GEO,51.47,35779,35790,0.00013,5.89,1436.03,1383,7/3/1996,,674,,,
Fengyun 2D,China,Government,Earth Observation,GEO,86.51,35777,35791,0.000166,0.77,1436,1390,12/8/2006,3,675,,,
Fengyun 2E,China,Government,Earth Observation,GEO,123.59,35767,35803,0.000427,2.61,1436.04,1390,12/23/2008,3,676,,,
Fengyun 2F,China,Government,Earth Observation,GEO,105,35760,35816,0.000664,2.19,1436.19,1390,1/12/2012,3,677,,,
Fengyun 2G,China,Government,Earth Observation,GEO,0,35770,35800,0.000356,2.27,1436.02,1390,12/31/2014,,678,,,
Amos 2,Israel,Military/Commercial,Communications,GEO,-3.98,35778,35794,0.00019,0.05,1436.08,1400,12/27/2003,12,679,,,
Kompsat-5,South Korea,Government/Commercial,Earth Observation,LEO,0,535,552,0.00123,97.6,95.5,1400,8/22/2013,5,680,,,
Thor-3,Norway,Commercial,Communications,GEO,-4,35777,35795,0.000213,0.07,1436.07,1400,6/10/1998,12,681,,,
GSAT-12,India,Government,Communications,GEO,82.94,35761,35811,0.000593,0.09,1436.1,1410,7/15/2011,8,682,,,
Cosmos 2456,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19132,19419,0.0056,64.81,681.53,1415,12/14/2009,7,683,,,
Cosmos 2459,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19119,19146,0.000529,64.76,675.85,1415,3/1/2010,7,684,,,
Cosmos 2460,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19131,19133,3.92E-05,64.77,675.81,1415,3/1/2010,7,685,,,
Cosmos 2457,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,18864,19130,0.00524,64.78,670.47,1415,12/14/2009,7,686,,,
Cosmos 2458,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19098,19129,0.000608,64.8,675.08,1415,12/14/2009,7,687,,,
Cosmos 2461,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19128,19135,0.000137,64.77,675.81,1415,3/1/2010,7,688,,,
Cosmos 2464,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,18909,19123,0.00421,64.82,671.2,1415,9/2/2010,7,689,,,
Cosmos 2465,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19116,19380,0.00515,64.84,680.43,1415,9/2/2010,7,690,,,
Cosmos 2466,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19079,19175,0.00188,64.84,675.61,1415,9/2/2010,7,691,,,
Cosmos 2474,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19126,19158,0.000627,64.82,676.2,1415,10/2/2011,7,692,,,
Cosmos 2476,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19142,19204,0.00121,64.8,677.46,1415,11/4/2011,7,693,,,
Cosmos 2477,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19150,19199,0.000959,64.8,677.5,1415,11/4/2011,7,694,,,
Cosmos 2475,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19139,19212,0.00143,64.78,677.54,1415,11/4/2011,7,695,,,
Cosmos 2478,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19130,19162,0.000627,64.82,676.38,1415,11/27/2011,7,696,,,
Cosmos 2485,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19087,19173,0.00169,64.77,675.73,1415,4/26/2013,7,697,,,
Cosmos 2514,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19106,19154,0.000941,64.8,675.75,1415,2/7/2016,7,698,,,
Cosmos 2516,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19094,19153,0.00116,64.8,675.49,1415,5/29/2016,7,699,,,
Cosmos 2491,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19084,19177,0.00182,64.81,675.74,1415,3/23/2014,7,700,,,
Cosmos 2500,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19114,19146,0.000627,64.77,675.73,1415,6/14/2014,7,701,,,
Astra 2D,Luxembourg,Commercial,Communications,GEO,28.14,35770,35802,0.00038,0.07,1436.1,1420,12/19/2000,15,702,,,
NOAA-19,USA,Government,Earth Observation,LEO,0,845,864,0.00131,98.9,102,1420,2/6/2009,3,703,,,
IRNSS-1A,India,Government,Navigation/Regional Positioning,GEO,55,35712,35872,0.0019,27.1,1436,1425,7/1/2013,12,704,,,
IRNSS-1C,India,Government,Navigation/Regional Positioning,GEO,83,35690,35871,0.00215,4.96,1435.8,1425,10/15/2014,12,705,,,
IRNSS-1D,India,Government,Navigation/Regional Positioning,GEO,111.7,35699,35834,0.0016,30.04,1435.06,1425,3/30/2015,12,706,,,
IRNSS-1E,India,Government,Navigation/Regional Positioning,GEO,111.7,35695,35874,0.00212,28.09,1436.01,1425,1/20/2016,12,707,,,
IRNSS-1F,India,Government,Navigation/Regional Positioning,GEO,32.5,35700,35874,0.00206,5.09,1436.13,1425,3/10/2016,12,708,,,
IRNSS-1G,India,Government,Navigation/Regional Positioning,GEO,129.5,35774,35797,0.000273,5.06,1436.05,1425,4/28/2016,12,709,,,
Express-AT2,Russia,Commercial,Communications,GEO,140,35609,35715,0.00126,0.1,1429.75,1427,3/15/2014,15,710,,,
NATO-4B,United Kingdom,Military,Communications,GEO,-35.05,35775,35795,0.000237,7.33,1436.04,1430,12/8/1993,7,711,,,
IRNSS-1B,India,Government,Navigation/Regional Positioning,GEO,55,35695,35880,0.00219,30.97,1436.14,1432,4/4/2014,12,712,,,
Measat 2,Malaysia,Commercial,Communications,GEO,148,35782,35791,0.000107,1.09,1436.12,1450,11/14/1996,11.5,713,,,
Swift,USA/United Kingdom/Italy,Government/Civil,Space Science,LEO,0,571,590,0.00137,20.6,96.3,1463,11/20/2004,7,714,,,
Skynet 4C,United Kingdom,Military,Communications,GEO,-1.3,35775,35797,0.000261,13.6,1436.07,1474,8/30/1990,7,715,,,
Cosmos 2419,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19118,19125,0.000137,64.8,675.39,1480,12/25/2005,7,716,,,
Cosmos 2424,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19130,19130,0,64.8,675.75,1480,12/25/2006,7,717,,,
Cosmos 2425,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19130,19130,0,64.8,675.75,1480,12/25/2006,7,718,,,
Cosmos 2426,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19130,19130,0,64.8,675.75,1480,12/25/2006,7,719,,,
Cosmos 2432,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19094,19171,0.00151,64.9,675.83,1480,10/26/2007,7,720,,,
Cosmos 2433,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19124,19133,0.000176,64.9,675.67,1480,10/26/2007,7,721,,,
Cosmos 2434,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19142,19378,0.0046,64.66,680.91,1480,12/25/2007,7,722,,,
Cosmos 2436,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19147,19365,0.00425,64.67,680.75,1480,12/25/2007,7,723,,,
Cosmos 2443,Russia,Military/Commercial,Navigation/Global Positioning,MEO,0,19134,19145,0.000216,64.79,676.1,1480,9/25/2008,7,724,,,
Astra 3A,Luxembourg,Commercial,Communications,GEO,23.48,35770,35804,0.000403,0.06,1436.07,1500,3/29/2002,10,725,,,
Haiyang 2A,China,Government,Earth Observation,LEO,0,965,967,0.000136,99.4,104.4,1500,8/15/2011,3,726,,,
Ziyuan 1-02C,China,Government,Earth Observation,LEO,0,763,773,0.0007,98.56,100.2,1500,12/22/2011,,727,,,
Skynet 4E,United Kingdom,Military,Communications,GEO,35.58,35774,35797,0.000273,4.99,1436.06,1510,2/26/1999,7,728,,,
Skynet 4F,United Kingdom,Military,Communications,GEO,-34.04,35773,35801,0.000332,3.23,1436.15,1510,2/7/2001,7,729,,,
Eutelsat 33A,Multinational,Commercial,Communications,GEO,33.14,35781,35790,0.000107,0.05,1436.06,1525,9/27/2003,10,730,,,
CartoSat 1,India,Government,Earth Observation,LEO,0,618,619,7.15E-05,97.9,97.1,1560,5/5/2005,6,731,,,
Amos 5,Israel,Military/Commercial,Communications,GEO,17,35595,36007,0.00488,0.09,1436.08,1600,12/11/2011,15,732,,,
IGS-5A,Japan,Government,Earth Observation,LEO,0,484,492,0.000583,97.31,94.37,1600,11/28/2009,5,733,,,
IGS-6A,Japan,Government,Earth Observation,LEO,0,588,591,0.000216,97.69,96.47,1600,9/23/2011,5,734,,,
IGS-7A,Japan,Government,Earth Observation,LEO,0,512,514,0.000145,97.46,94.89,1600,12/12/2011,5,735,,,
IGS-8A,Japan,Government,Earth Observation,LEO,0,509,514,0.000363,97.5,94.85,1600,1/27/2013,5,736,,,
IGS-8B,Japan,Government,Earth Observation,LEO,0,512,523,0.000799,97.5,94.85,1600,1/27/2013,5,737,,,
IGS-9A,Japan,Government,Earth Observation,LEO,0,510,510,0,97.5,94.85,1600,1/31/2015,5,738,,,
IGS-9B,Japan,Government,Earth Observation,LEO,0,511,515,0.000291,97.5,95.2,1600,3/26/2015,5,739,,,
Suzaku,Japan/USA,Government,Space Science,LEO,0,548,558,0.000722,31.4,95.7,1600,7/10/2005,5,740,,,
N-Star C,Japan,Commercial,Communications,GEO,135.08,35772,35799,0.00032,0.06,1436.08,1625,7/5/2002,15,741,,,
USA 213,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20188,20224,0.000677,55,718.94,1630,5/28/2010,12,742,,,
USA 262,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20446,20459,0.000242,54.9,728.96,1630,7/15/2015,12,743,,,
USA 265,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20426,20486,0.00112,55,97.7,1630,10/31/2015,12,744,,,
USA 266,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20175,20188,0.000245,55,717.9,1630,2/5/2016,12,745,,,
USA 232,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20451,20464,0.000242,55.03,729.18,1630,7/16/2011,12,746,,,
USA 239,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20174,20191,0.00032,54.95,718,1630,10/4/2012,10,747,,,
USA 242,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20184,20247,0.00118,55.09,719.32,1630,5/15/2013,10,748,,,
USA 248,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20457,20469,0.000224,54.98,729.39,1630,2/21/2014,10,749,,,
USA 251,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20174,20188,0.000264,55.05,717.92,1630,5/17/2014,10,750,,,
USA 256,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20471,20476,9.31E-05,54.92,729,1630,8/2/2014,10,751,,,
USA 258,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20155,20211,0.00105,54.97,718.02,1630,10/29/2014,10,752,,,
USA 260,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20445,20469,0.000447,55,729.14,1630,3/25/2015,12,753,,,
Yamal-300K,Russia,Commercial,Communications,GEO,90,35694,35866,0.00204,0.14,1435.76,1640,11/2/2012,,754,,,
COSMO-Skymed 1,Italy,Military/Civil,Earth Observation,LEO,0,622,623,7.15E-05,97.9,97.2,1700,6/8/2007,5,755,,,
COSMO-Skymed 2,Italy,Military/Government,Earth Observation,LEO,0,622,623,7.15E-05,97.9,97.2,1700,12/9/2007,5,756,,,
COSMO-Skymed 3,Italy,Military/Government,Earth Observation,LEO,0,622,623,7.15E-05,97.9,97.2,1700,10/25/2008,5,757,,,
COSMO-Skymed 4,Italy,Military/Government,Earth Observation,LEO,0,622,623,7.15E-05,97.9,97.2,1700,11/6/2010,5,758,,,
Express-AT1,Russia,Commercial,Communications,GEO,56,35781,35804,0.000273,0.06,1436.4,1726,3/15/2014,15,759,,,
Ibuki,Japan,Civil,Earth Observation,LEO,0,668,670,0.000142,98.1,98.1,1750,1/23/2009,5,760,,,
Galaxy-12,USA,Commercial,Communications,GEO,-122.9,35775,35796,0.000249,0.05,1436.07,1760,4/9/2003,15,761,,,
Electro-L1,Russia,Government,Earth Observation,GEO,76,35323,35750,0.00509,0.46,1423.35,1766,1/20/2011,10,762,,,
Brazilsat B-2,Brazil,Military/Commercial,Communications,GEO,-68,35776,35797,0.000249,0.84,1436.11,1780,3/28/1995,12,763,,,
Brazilsat B-3,Brazil,Commercial,Communications,GEO,-74.96,35769,35803,0.000403,0.04,1436.07,1780,2/4/1998,12,764,,,
ABS-2A,Multinational,Commercial,Communications,GEO,-75,35700,35700,0,0,1436.1,1800,6/15/2016,15,765,,,
Electro-L2,Russia,Government,Earth Observation,GEO,77.8,35694,35815,0.00144,0.45,1434.47,1800,12/11/2015,10,766,,,
Yaogan 6,China,Government,Earth Observation,LEO,0,511,512,7.27E-05,97.3,94.9,1800,4/22/2009,,767,,,
GSAT-2,India,Government,Communications/Technology Development,GEO,48.04,35776,35796,0.000237,0.04,1436.07,1825,5/8/2003,5-Mar,768,,,
Nilesat 102,Egypt,Government,Communications,GEO,-7.03,35764,35808,0.000522,0.03,1436.08,1825,8/17/2000,15,769,,,
DAMPE,China,Government,Space Science,LEO,0,488,505,0.00124,97.3,94.54,1850,12/17/2015,3,770,,,
RISat-1,India,Military,Earth Observation,LEO,0,538,541,0.000217,97.6,95.4,1858,4/25/2012,,771,,,
GCOM-1,USA/Japan,Government,Earth Observation,LEO,0,701,704,0.000212,98.2,98.8,1900,5/17/2012,5,772,,,
Telkom 2,Indonesia,Commercial,Communications,GEO,118.02,35781,35793,0.000142,0.04,1436.1,1930,11/16/2005,15,773,,,
AMC-7,USA,Commercial,Communications,GEO,-136.94,35773,35798,0.000297,0.01,1436.08,1935,9/14/2000,15,774,,,
GeoEye-1,USA,Commercial/Government,Earth Observation,LEO,0,671,686,0.00106,98.1,98.3,1955,9/6/2008,7,775,,,
BSAT-3A,Japan,Commercial,Communications,GEO,109.91,35778,35794,0.00019,0.03,1436.1,1980,8/14/2007,13,776,,,
CBERS 4,China/Brazil,Government,Earth Observation,LEO,0,738,748,0.000703,98.55,99.67,1980,12/7/2014,3,777,,,
GSAT-14,India,Government,Communications,GEO,74,35763,35810,0.000557,0.23,1436.1,1982,1/5/2014,12,778,,,
ABS-3A,Multinational,Commercial,Communications,GEO,-3,35788,35803,0.000178,0.1,1436,2000,3/2/2015,15,779,,,
INMARSAT 3 F5,United Kingdom,Commercial,Communications,GEO,25.07,35769,35803,0.000403,0.04,1436.07,2000,2/4/1998,13,780,,,
Meteosat 10,Multinational,Government/Civil,Earth Observation,GEO,0,35784,35791,8.30E-05,1.8,1436.15,2000,7/5/2012,7,781,,,
Meteosat 11,Multinational,Government/Civil,Earth Observation,GEO,0,35791,35795,4.74E-05,3.1,1436.1,2000,7/15/2015,12,782,,,
Meteosat 8,Multinational,Government/Civil,Earth Observation,GEO,9.27,35781,35793,0.000142,0.46,1436.1,2000,8/21/2002,12,783,,,
Meteosat 9,Multinational,Government/Civil,Earth Observation,GEO,-0.02,35775,35795,0.000237,0.29,1436,2000,12/21/2005,12,784,,,
AMC-8,USA,Commercial,Communications,GEO,-139,35773,35798,0.000297,0.03,1436.07,2015,12/19/2000,15,785,,,
Thor-5 ,Norway,Commercial,Communications,GEO,-0.72,35773,35798,0.000297,0.01,1436.1,2024,2/11/2008,15,786,,,
Galaxy-15,USA,Commercial,Communications,GEO,-132.97,35776,35795,0.000225,0.06,1436.07,2033,10/13/2005,15,787,,,
USA 206,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20160,20209,0.000923,55.12,718.07,2059,8/17/2009,10,788,,,
BSAT-3B,Japan,Commercial,Communications,GEO,110,33066,35725,0.0326,0.07,1365.61,2060,10/28/2010,15,789,,,
USA 190,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20020,20342,0.00606,54.94,717.93,2060,9/25/2006,10,790,,,
USA 192,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20206,20366,0.003,55.02,722.19,2060,11/17/2006,10,791,,,
USA 199,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20150,20311,0.00303,54.96,719.92,2060,12/20/2007,10,792,,,
INMARSAT 3 F1,United Kingdom,Commercial,Communications,GEO,64.56,35764,35808,0.000522,0.08,1436.08,2064,4/3/1996,13,793,,,
INMARSAT 3 F4,United Kingdom,Commercial,Communications,GEO,-125.39,35609,35642,0.000393,0.06,1427.91,2066,6/3/1997,13,794,,,
INMARSAT 3 F2,United Kingdom,Commercial,Communications,GEO,-15.52,35763,35809,0.000546,0.08,1436.1,2070,9/6/1996,13,795,,,
INMARSAT 3 F3,United Kingdom,Commercial,Communications,GEO,178.2,35761,35810,0.000581,0.09,1436.07,2074,12/18/1996,13,796,,,
AMC-18,USA,Commercial,Communications,GEO,-104.97,35773,35800,0.00032,0.06,1436.1,2081,12/8/2006,15,797,,,
Galaxy-14,USA,Commercial,Communications,GEO,-124.96,35776,35795,0.000225,0.01,1436.07,2086,8/13/2005,15,798,,,
INSAT 3D,India,Government,Earth Observation,GEO,82,35782,35791,0.000107,0.24,1436.09,2090,7/25/2013,,799,,,
Express-AM8,Russia,Commercial,Communications,GEO,-14,35784,35788,4.74E-05,0.03,1436.09,2100,9/14/2015,15,800,,,
GSAT-6,India,Government/Commercial,Communications,GEO,83,35775,35775,0,0,1436.1,2110,8/27/2015,12-Sep,801,,,
Daichi-2,Japan,Government,Earth Observation,LEO,0,630,635,0.000357,97.88,97.36,2120,5/24/2014,7,802,,,
NPP,USA,Government,Earth Observation,LEO,0,827,827,0,98.7,101.4,2128,10/28/2011,,803,,,
INSAT 4CR,India,Government,Communications,GEO,73.97,37782,37791,0.000102,0.03,1436.11,2130,9/2/2007,12,804,,,
Beidou 2-12,China,Military/Government,Navigation/Global Positioning,MEO,0,21460,21595,0.00242,55.16,773.19,2200,4/28/2012,8,805,,,
Beidou 2-13,China,Military/Government,Navigation/Global Positioning,MEO,0,21452,21603,0.00271,55.1,773.21,2200,4/28/2012,8,806,,,
Beidou G-1,China,Military/Government,Navigation/Global Positioning,GEO,144.5,35768,35803,0.000415,1.78,1436.05,2200,1/16/2010,,807,,,
Beidou G3,China,Military/Government,Navigation/Global Positioning,GEO,84.7,35774,35797,0.000273,1.83,1436.05,2200,6/2/2010,,808,,,
Beidou M1,China,Military/Government,Navigation/Global Positioning,MEO,0,21519,21545,0.000466,55.26,773.39,2200,4/14/2007,8,809,,,
TianLian 3 ,China,Government,Communications,GEO,16.86,35768,35802,0.000403,2.04,1436,2200,7/25/2012,,810,,,
USA 175,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,19963,20327,0.00686,55.1,716.47,2217,12/21/2003,10,811,,,
USA 177,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20089,20276,0.00352,55,717.98,2217,3/20/2004,10,812,,,
USA 178,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20072,20292,0.00414,55.37,717.96,2217,6/23/2004,10,813,,,
USA 180,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,19938,20426,0.00919,54.8,718,2217,11/6/2004,10,814,,,
USA 132,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20123,20247,0.00233,54.9,718.09,2217,7/23/1997,10,815,,,
USA 145,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20096,20268,0.00324,53,717.97,2217,10/7/1999,10,816,,,
USA 150,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20133,20234,0.0019,54.9,718.03,2217,5/11/2000,10,817,,,
USA 151,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20184,20427,0.00455,55,722.98,2217,7/16/2000,10,818,,,
USA 154,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20177,20498,0.00601,55,724.28,2217,11/10/2000,10,819,,,
USA 156,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20104,20266,0.00305,55,718.09,2217,1/30/2001,10,820,,,
USA 166,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20155,20344,0.00355,55,720.71,2217,1/29/2003,10,821,,,
USA 168,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20063,20433,0.00695,54.9,720.65,2217,3/31/2003,10,822,,,
USA 183,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20142,20221,0.00149,55.08,717.95,2217,9/26/2005,10,823,,,
USA 196,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20149,20213,0.00121,54.8,717.93,2217,10/17/2007,10,824,,,
USA 201,USA,Military/Commercial,Navigation/Global Positioning,MEO,0,20135,20152,0.000321,55.1,716.4,2217,3/15/2008,10,825,,,
NOAA-15,USA,Government,Earth Observation,LEO,0,800,816,0.00111,98.7,101,2223,5/13/1998,3,826,,,
NOAA-18,USA,Government,Earth Observation,LEO,0,843,864,0.00145,99.1,102,2223,5/20/2005,3,827,,,
NSS-9,Netherlands,Commercial,Communications,GEO,183,35784,35792,9.49E-05,0.02,1436.17,2238,2/11/2009,15,828,,,
USA 208,USA,Military,Technology Development,LEO,0,1347,1352,0.000324,58,112.68,2240,9/25/2009,4-Feb,829,,,
USA 209,USA,Military,Technology Development,LEO,0,1339,1351,0.000778,58,112.58,2240,9/25/2009,4-Feb,830,,,
HYLAS 1,United Kingdom,Commercial,Communications,GEO,-33.5,35770,35803,0.000391,0.01,1436.07,2242,11/26/2010,15,831,,,
TianLian 2,China,Government,Communications,GEO,176.72,37778,37794,0.000181,1,1436.1,2250,7/11/2011,,832,,,
Beidou G5,China,Military/Government,Navigation/Global Positioning,GEO,59,35776,35799,0.000273,1.87,1436.15,2300,2/24/2012,8,833,,,
Fengyun 3A,China,Government,Earth Observation,LEO,0,820,835,0.00104,98.6,101.5,2300,5/27/2008,,834,,,
Fengyun 3B,China,Government,Earth Observation,LEO,0,827,828,6.95E-05,98.8,101.5,2300,11/4/2010,,835,,,
Fengyun 3C,China,Government,Earth Observation,LEO,0,827,828,6.95E-05,98.81,101.45,2300,9/23/2013,,836,,,
Horizons 2,USA/Japan,Commercial,Communications,GEO,85,35777,35796,0.000225,0,1436.1,2300,12/21/2007,15,837,,,
Optus D1,Australia,Commercial,Communications,GEO,160.06,35774,35797,0.000273,0.02,1436.08,2300,10/13/2006,15,838,,,
Sentinel 1A,ESA,Government,Earth Observation,LEO,0,691,693,0.000142,98.16,98.61,2300,4/3/2014,7,839,,,
Sentinel 1B,ESA,Government,Earth Observation,LEO,0,695,697,0.000142,98.1,98.7,2300,4/25/2016,7,840,,,
Sentinel 2A,ESA,Government,Earth Observation,LEO,0,787,788,6.99E-05,98.5,100.62,2300,6/23/2015,7,841,,,
Sentinel 3A,ESA,Government,Earth Observation,LEO,0,802,804,0.000139,98.6,100.9,2300,2/16/2016,7,842,,,
Zhongxing 20A,China,Military,Communications,GEO,130,35773,35799,0.000308,0.55,1436.05,2300,11/24/2010,,843,,,
Zhongxing 22A,China,Military,Communications,GEO,103.28,35767,35807,0.000474,0.07,1436.1,2300,9/12/2006,,844,,,
USA 46,USA,Military,Communications,GEO,-14.74,35745,35829,0.000996,8.97,1436.13,2310,9/25/1989,5,845,,,
AMC-10,USA,Commercial,Communications,GEO,-134.97,35775,35797,0.000261,0.01,1436.09,2315,2/5/2004,15,846,,,
AMC-11,USA,Commercial,Communications,GEO,-130.93,35774,35797,0.000273,0.04,1436.07,2340,5/19/2004,15,847,,,
USA 130,USA,Military,Earth Observation,GEO,0,35780,35800,0.000237,0.1,1436.27,2380,2/23/1997,5,848,,,
USA 159,USA,Military,Earth Observation,GEO,69.48,35765,35810,0.000534,3.68,1436.14,2380,8/6/2001,9-Jul,850,,,
USA 176,USA,Military,Earth Observation,GEO,103.84,35741,35832,0.00108,1.41,1436.12,2380,2/14/2004,9-Jul,851,,,
Optus D2,Australia,Commercial,Communications,GEO,152.05,35774,35799,0.000297,0.03,1436.1,2400,10/5/2007,15,852,,,
Cosmos 2450,Russia,Military,Communications,GEO,89.84,35612,35949,0.004,1.44,1435.79,2400,2/28/2009,5,853,,,
Raduga 1-M3,Russia,Military,Communications,GEO,,35777,35797,0.000237,0.1,1436.13,2400,11/11/2013,5,854,,,
Measat 3A,Malaysia,Commercial,Communications,GEO,91.5,35728,35788,0.000712,0.04,1434.6,2417,6/21/2009,15,855,,,
COMSATBw-1,Germany,Military,Communications,GEO,63,35773,35799,0.000308,0.05,1436.1,2440,10/1/2009,15,856,,,
COMSATBw-2,Germany,Military,Communications,GEO,13.2,35780,35794,0.000166,0.08,1436.11,2440,5/21/2010,15,857,,,
Intelsat 16,USA,Commercial,Communications,GEO,-58.12,35783,35791,9.49E-05,0.07,1436.19,2450,2/12/2010,15,858,,,
COMS-1,South Korea,Government,Earth Observation/Communications,GEO,128,35783,35791,9.49E-05,0.01,1436.1,2460,6/26/2010,,859,,,
Intelsat 11,USA,Commercial,Communications,GEO,-43.06,35778,35795,0.000202,0.03,1436.1,2491,10/5/2007,15,860,,,
Brazilsat B-4,Brazil,Commercial,Communications,GEO,-84.03,35772,35800,0.000332,0.07,1436.09,2495,8/17/2000,12,861,,,
AMC-21,USA,Commercial,Communications,GEO,-124.86,35778,35793,0.000178,3,1436.1,2500,8/14/2008,15,862,,,
Eutelsat 16C,Multinational,Commercial,Communications,GEO,35.96,35754,35817,0.000747,0.07,1436.06,2500,4/17/2000,,863,,,
JCSat 2A,Japan,Commercial,Communications,GEO,154,35788,35794,7.12E-05,0.01,1436.1,2500,3/29/2002,11,864,,,
Meridian-3,Russia,Military,Communications,Elliptical,0,2253,38105,0.675,62.85,645.98,2500,11/2/2010,,865,,,
